Steps: 10 Loss: 0.05114| DTW: 31.166| LR: 0.001000 *
Steps: 20 Loss: 0.02022| DTW: 25.206| LR: 0.001000 *
Steps: 30 Loss: 0.01340| DTW: 19.697| LR: 0.001000 *
Steps: 40 Loss: 0.01012| DTW: 17.293| LR: 0.001000 *
Steps: 50 Loss: 0.00868| DTW: 16.117| LR: 0.001000 *
Steps: 60 Loss: 0.00842| DTW: 15.759| LR: 0.001000 *
Steps: 70 Loss: 0.00817| DTW: 15.711| LR: 0.001000 *
Steps: 80 Loss: 0.00812| DTW: 15.800| LR: 0.001000 
Steps: 90 Loss: 0.00814| DTW: 15.972| LR: 0.001000 
Steps: 100 Loss: 0.00807| DTW: 16.095| LR: 0.001000 
Steps: 110 Loss: 0.00802| DTW: 16.164| LR: 0.001000 
Steps: 120 Loss: 0.00800| DTW: 16.261| LR: 0.001000 
Steps: 130 Loss: 0.00798| DTW: 16.353| LR: 0.001000 
Steps: 140 Loss: 0.00795| DTW: 16.408| LR: 0.001000 
Steps: 150 Loss: 0.00789| DTW: 19.336| LR: 0.000700 
Steps: 160 Loss: 0.00788| DTW: 16.514| LR: 0.000700 
Steps: 170 Loss: 0.00783| DTW: 19.462| LR: 0.000700 
Steps: 180 Loss: 0.00781| DTW: 19.442| LR: 0.000700 
Steps: 190 Loss: 0.00777| DTW: 19.535| LR: 0.000700 
Steps: 200 Loss: 0.00770| DTW: 19.574| LR: 0.000700 
Steps: 210 Loss: 0.00761| DTW: 19.609| LR: 0.000700 
Steps: 220 Loss: 0.00752| DTW: 19.640| LR: 0.000700 
Steps: 230 Loss: 0.00743| DTW: 16.674| LR: 0.000490 
Steps: 240 Loss: 0.00737| DTW: 16.694| LR: 0.000490 
Steps: 250 Loss: 0.00733| DTW: 16.776| LR: 0.000490 
Steps: 260 Loss: 0.00730| DTW: 16.827| LR: 0.000490 
Steps: 270 Loss: 0.00727| DTW: 16.870| LR: 0.000490 
Steps: 280 Loss: 0.00724| DTW: 16.951| LR: 0.000490 
Steps: 290 Loss: 0.00719| DTW: 16.999| LR: 0.000490 
Steps: 300 Loss: 0.00716| DTW: 17.014| LR: 0.000490 
Steps: 310 Loss: 0.00713| DTW: 17.046| LR: 0.000343 
Steps: 320 Loss: 0.00712| DTW: 17.089| LR: 0.000343 
Steps: 330 Loss: 0.00710| DTW: 17.135| LR: 0.000343 
Steps: 340 Loss: 0.00709| DTW: 17.212| LR: 0.000343 
Steps: 350 Loss: 0.00707| DTW: 17.276| LR: 0.000343 
Steps: 360 Loss: 0.00708| DTW: 17.344| LR: 0.000343 
Steps: 370 Loss: 0.00705| DTW: 17.364| LR: 0.000343 
Steps: 380 Loss: 0.00704| DTW: 17.312| LR: 0.000343 
Steps: 390 Loss: 0.00702| DTW: 17.354| LR: 0.000240 
Steps: 400 Loss: 0.00701| DTW: 17.367| LR: 0.000240 
Steps: 410 Loss: 0.00701| DTW: 17.384| LR: 0.000240 
Steps: 420 Loss: 0.00699| DTW: 17.396| LR: 0.000240 
Steps: 430 Loss: 0.00700| DTW: 17.431| LR: 0.000240 
Steps: 440 Loss: 0.00699| DTW: 17.461| LR: 0.000240 
Steps: 450 Loss: 0.00697| DTW: 17.459| LR: 0.000240 
Steps: 460 Loss: 0.00696| DTW: 17.611| LR: 0.000240 
Steps: 470 Loss: 0.00694| DTW: 17.623| LR: 0.000168 
